	precision	recall	f1-score	support
Sleep	0.7985	0.84	0.8187	250.0
Bed_Toilet_Transition	0.7436	0.6591	0.6988	44.0
Personal_Hygiene	0.5	0.1356	0.2133	59.0
Bathe	0.0	0.0	0.0	11.0
Take_Medicine	0.9	0.3214	0.4737	28.0
Cook	0.7833	0.6528	0.7121	72.0
Eat	0.8571	0.6186	0.7186	97.0
Wash_Dishes	0.7857	0.275	0.4074	40.0
Dress	1.0	0.025	0.0488	40.0
Toilet	0.6308	0.4184	0.5031	98.0
Exercise	0.0	0.0	0.0	0.0
Relax	0.6161	0.3898	0.4775	177.0
Leave_Home	0.6552	0.4524	0.5352	42.0
Enter_Home	0.8824	0.375	0.5263	40.0
Work	1.0	0.0222	0.0435	45.0
Phone	0.0	0.0	0.0	25.0
micro avg	0.7461	0.4869	0.5892	1068.0
macro avg	0.6345	0.3241	0.3861	1068.0
weighted avg	0.7272	0.4869	0.5429	1068.0
samples avg	0.3472	0.3072	0.3171	1068.0
